     time   lidar_F   lidar_R      gyro compass_x compass_y
   1.0300  4.336313  4.839277 -0.061631  0.911652 -0.016345
   1.0350  4.843145  4.686737 -0.062021  0.956235 -0.017394
   1.0400  4.643069  4.853761 -0.066600  0.990864 -0.016170
   1.0450  4.961276  4.465070 -0.062274  1.023036 -0.017171
   1.0500  4.836196  4.776603 -0.069170  1.006049 -0.018080
   1.0550  4.154538  4.687279 -0.073072  1.030433 -0.016595
   1.0600  4.441598  4.522408 -0.079382  0.969602 -0.017552
   1.0650  4.754344  4.735215 -0.073901  0.995962 -0.018901
   1.0700  4.541143  5.071002 -0.084292  1.054873 -0.019473
   1.0750  4.916783  4.589894 -0.075364  1.058842 -0.018904
   1.0800  4.790056  4.716257 -0.080763  1.001549 -0.020198
   1.0850  4.518412  4.866240 -0.085572  1.050353 -0.018260
   1.0900  4.578391  4.329137 -0.079748  0.999149 -0.019585
   1.0950  4.821589  4.697838 -0.080291  1.023405 -0.022101
   1.1000  4.433644  4.394353 -0.082850  0.961028 -0.019298
   1.1050  4.463405  4.780235 -0.069734  1.049869 -0.022499
   1.1100  4.502533  4.680115 -0.080581  0.942960 -0.022369
   1.1150  4.223710  4.641489 -0.066518  1.030169 -0.022161
   1.1200  4.568243  4.301075 -0.073803  1.064518 -0.022993
   1.1250  4.618412  4.602598 -0.083764  1.086779 -0.022818
   1.1300  4.809369  4.517122 -0.075811  1.018404 -0.020005
   1.1350  4.333601  4.591475 -0.072671  1.035410 -0.021876
   1.1400  4.532577  4.649111 -0.074139  1.038454 -0.024827
   1.1450  4.324135  4.489045 -0.082549  0.982849 -0.025458
   1.1500  4.606915  4.911418 -0.080071  0.882062 -0.023525
   1.1550  4.352073  4.688691 -0.079566  0.959085 -0.025479
   1.1600  4.317782  4.285699 -0.085553  0.975324 -0.026435
   1.1650  4.254464  4.707059 -0.080278  0.944068 -0.028463
   1.1700  4.758819  4.890789 -0.077263  1.080950 -0.026973
   1.1750  4.350186  4.655007 -0.088808  0.969988 -0.028386
   1.1800  4.535815  4.782236 -0.088989  1.015088 -0.027735
   1.1850  4.635408  4.080563 -0.077804  1.059645 -0.029413
   1.1900  4.740733  4.362241 -0.083088  1.022713 -0.026967
   1.1950  4.580866  4.649263 -0.081339  1.000905 -0.027139
   1.2000  4.355634  4.990346 -0.080228  1.070763 -0.028092
   1.2050  4.641978  4.754389 -0.081067  1.023010 -0.029243
   1.2100  4.381250  4.843424 -0.086498  1.037565 -0.029056
   1.2150  4.533545  4.865351 -0.085952  1.072714 -0.033269
   1.2200  4.661089  4.554594 -0.084506  1.059887 -0.028055
   1.2250  4.484877  4.425356 -0.084671  0.999643 -0.032295
   1.2300  4.380206  4.433735 -0.087829  1.090188 -0.033472
   1.2350  4.783939  4.440928 -0.088808  0.991562 -0.031284
   1.2400  4.298528  4.471723 -0.085981  1.011840 -0.031260
   1.2450  4.510823  4.805074 -0.081554  1.018867 -0.037256
   1.2500  4.251879  4.767802 -0.086553  1.000947 -0.032363
   1.2550  4.096189  4.502494 -0.086475  0.913049 -0.034651
   1.2600  4.302105  4.516677 -0.082579  1.083599 -0.039155
   1.2650  4.191935  4.965002 -0.085217  1.031729 -0.034424
   1.2700  3.796360  4.690922 -0.074353  1.000754 -0.036205
   1.2750  4.638908  4.634345 -0.084040  1.032075 -0.035025
   1.2800  4.192753  4.846425 -0.094899  1.039426 -0.034811
   1.2850  4.437875  4.755753 -0.081162  0.974977 -0.035690
   1.2900  4.478293  4.729981 -0.088068  0.985390 -0.034143
   1.2950  4.386697  4.930731 -0.093321  1.115602 -0.036498
   1.3000  4.246481  5.028493 -0.089500  1.043914 -0.037284
   1.3050  4.534249  4.500426 -0.088549  1.035031 -0.038255
   1.3100  4.601818  4.511485 -0.096680  1.094182 -0.036192
   1.3150  4.564607  4.528447 -0.096251  1.014062 -0.039751
   1.3200  4.693932  4.755242 -0.100602  1.007412 -0.037028
   1.3250  4.356287  4.582599 -0.091017  0.951610 -0.041664
   1.3300  4.528517  4.859062 -0.093826  0.973696 -0.036527
   1.3350  4.431141  4.501265 -0.098666  0.943586 -0.041843
   1.3400  4.032371  4.494430 -0.089420  1.053785 -0.039767
   1.3450  4.492051  4.584701 -0.091587  1.064749 -0.040395
   1.3500  4.407411  4.554101 -0.094647  1.020746 -0.040646
   1.3550  4.377624  4.451592 -0.090358  0.960761 -0.043405
   1.3600  4.879878  4.478175 -0.097627  0.962221 -0.042471
   1.3650  4.259827  5.350645 -0.089886  0.976190 -0.042212
   1.3700  4.255988  4.106853 -0.093455  1.045380 -0.046113
   1.3750  4.135327  4.837263 -0.093515  0.894350 -0.047535
   1.3800  4.806642  4.950544 -0.098623  1.006020 -0.049461
   1.3850  4.382880  4.990387 -0.098879  0.914592 -0.044973
   1.3900  4.409381  4.731323 -0.090839  0.951624 -0.048331
   1.3950  4.162686  4.431240 -0.103024  1.029801 -0.048617
   1.4000  3.978563  4.511563 -0.097330  0.974651 -0.052016
   1.4050  4.788649  4.799314 -0.100467  1.044473 -0.046020
   1.4100  4.869368  4.356226 -0.100619  1.037324 -0.045189
   1.4150  4.482078  4.495072 -0.101558  0.996583 -0.046738
   1.4200  4.509120  4.410595 -0.108485  0.927867 -0.044931
   1.4250  4.384022  4.598512 -0.101064  1.021336 -0.048194
   1.4300  4.603163  4.591490 -0.094960  0.919539 -0.050925
   1.4350  4.497282  4.465923 -0.105469  0.996099 -0.051491
   1.4400  4.310804  4.841186 -0.095411  0.983140 -0.049673
   1.4450  4.542256  4.624129 -0.099549  1.010367 -0.050089
   1.4500  4.696439  4.753102 -0.095325  1.050883 -0.053395
   1.4550  5.069165  4.241406 -0.097588  1.033361 -0.050730
   1.4600  4.154659  4.728307 -0.104518  0.935086 -0.054366
   1.4650  4.267589  4.842305 -0.095800  0.993687 -0.056521
   1.4700  4.160702  4.612519 -0.097836  1.016856 -0.052364
   1.4750  4.340454  4.823012 -0.102229  0.973697 -0.054212
   1.4800  4.337822  4.495855 -0.102967  1.007651 -0.053028
   1.4850  4.278232  4.697431 -0.101770  0.957256 -0.048367
   1.4900  4.192739  4.586265 -0.103889  0.990283 -0.056089
   1.4950  4.544816  4.618200 -0.101221  1.052842 -0.058133
   1.5000  4.406458  4.817333 -0.110192  0.997009 -0.055793
   1.5050  4.602512  4.427746 -0.111260  1.006047 -0.058349
   1.5100  4.288841  4.219299 -0.111390  0.992544 -0.057794
   1.5150  4.754561  4.484760 -0.111936  1.031784 -0.066182
   1.5200  4.462719  4.781623 -0.098658  1.055773 -0.056551
   1.5250  4.457311  5.102231 -0.103600  0.945920 -0.058365
   1.5300  4.590868  4.928799 -0.101447  1.015153 -0.058259
   1.5350  4.444373  4.916561 -0.114995  1.019010 -0.063524
   1.5400  4.061342  4.284048 -0.104996  1.015594 -0.064066
   1.5450  4.258748  4.635473 -0.112148  1.048084 -0.063439
